date,o,h,l,c,v
2020-09-28 19:30:00,1.16656,1.1665649999999999,1.166105,1.166175,841
2020-09-28 19:35:00,1.166325,1.16648,1.166175,1.166455,771
2020-09-28 19:40:00,1.16648,1.166495,1.1663350000000001,1.166465,525
2020-09-28 19:45:00,1.1664850000000002,1.1665,1.166325,1.1663649999999999,657
2020-09-28 19:50:00,1.166585,1.166805,1.16632,1.166565,919
2020-09-28 19:55:00,1.1668,1.16703,1.166515,1.166995,1378
2020-09-28 20:00:00,1.167065,1.1671399999999998,1.166825,1.166915,875
2020-09-28 20:05:00,1.1669800000000001,1.1670449999999999,1.16666,1.166665,313
2020-09-28 20:10:00,1.1667200000000002,1.166775,1.1665800000000002,1.1665999999999999,262
2020-09-28 20:15:00,1.16662,1.1666400000000001,1.166505,1.166595,264
2020-09-28 20:20:00,1.1665999999999999,1.1665999999999999,1.166535,1.166555,87
2020-09-28 20:25:00,1.166555,1.166555,1.166275,1.166305,227
2020-09-28 20:30:00,1.1663649999999999,1.16642,1.166265,1.16631,259
2020-09-28 20:35:00,1.16631,1.16631,1.1660949999999999,1.166215,261
2020-09-28 20:40:00,1.16641,1.16661,1.166215,1.16657,333
2020-09-28 20:45:00,1.166665,1.166755,1.16655,1.166655,263
2020-09-28 20:50:00,1.16666,1.1666750000000001,1.166505,1.166635,353
2020-09-28 20:55:00,1.1667550000000002,1.166785,1.166455,1.166635,703
2020-09-28 21:00:00,1.1667200000000002,1.1667550000000002,1.166445,1.166585,25
2020-09-28 21:05:00,1.1666699999999999,1.166745,1.16628,1.166575,73
2020-09-28 21:10:00,1.166575,1.1666249999999998,1.166315,1.1663299999999999,239
2020-09-28 21:15:00,1.16635,1.16643,1.166325,1.1664249999999998,33
2020-09-28 21:20:00,1.166455,1.166505,1.1664249999999998,1.16648,14
2020-09-28 21:25:00,1.16648,1.166535,1.166445,1.166475,39
2020-09-28 21:30:00,1.1664949999999998,1.16654,1.1661700000000002,1.166315,261
2020-09-28 21:35:00,1.1664249999999998,1.16656,1.16614,1.16648,102
2020-09-28 21:40:00,1.16648,1.166505,1.16642,1.16643,20
2020-09-28 21:45:00,1.16643,1.166465,1.16643,1.1664349999999999,13
2020-09-28 21:50:00,1.1664349999999999,1.166465,1.16643,1.1664400000000001,24
2020-09-28 21:55:00,1.1664400000000001,1.16648,1.1663800000000002,1.166445,136
2020-09-28 22:00:00,1.16647,1.16656,1.16641,1.1665299999999998,262
2020-09-28 22:05:00,1.166545,1.166575,1.1662849999999998,1.166325,185
2020-09-28 22:10:00,1.1663999999999999,1.1665,1.16632,1.16635,234
2020-09-28 22:15:00,1.166455,1.1665649999999999,1.166325,1.16655,130
2020-09-28 22:20:00,1.16656,1.166585,1.1665,1.166555,120
2020-09-28 22:25:00,1.166585,1.16662,1.166535,1.16661,104
2020-09-28 22:30:00,1.16665,1.1667,1.16655,1.16661,176
2020-09-28 22:35:00,1.166625,1.166635,1.166555,1.1666050000000001,100
2020-09-28 22:40:00,1.16668,1.16676,1.166565,1.166755,189
2020-09-28 22:45:00,1.16683,1.1669,1.16672,1.166835,234
2020-09-28 22:50:00,1.16687,1.166895,1.166805,1.16682,99
2020-09-28 22:55:00,1.166875,1.166925,1.1668150000000002,1.1669,129
2020-09-28 23:00:00,1.166955,1.167015,1.16689,1.16696,298
2020-09-28 23:05:00,1.1670150000000001,1.16706,1.16684,1.16693,389
2020-09-28 23:10:00,1.16693,1.16693,1.166795,1.16683,258
2020-09-28 23:15:00,1.1668500000000002,1.166865,1.166745,1.166765,129
2020-09-28 23:20:00,1.1668,1.16684,1.166745,1.166795,153
2020-09-28 23:25:00,1.1669550000000002,1.16711,1.16679,1.167105,191
2020-09-28 23:30:00,1.167105,1.167105,1.1669049999999999,1.1669100000000001,296
2020-09-28 23:35:00,1.166915,1.16692,1.166795,1.166835,150
2020-09-28 23:40:00,1.16703,1.167225,1.166755,1.16705,455
2020-09-28 23:45:00,1.16725,1.167455,1.1670449999999999,1.167415,475
2020-09-28 23:50:00,1.167665,1.16792,1.16733,1.167755,941
2020-09-28 23:55:00,1.1678449999999998,1.16794,1.16765,1.167705,597
2020-09-29 00:00:00,1.1677499999999998,1.167795,1.167515,1.1677,819
2020-09-29 00:05:00,1.16778,1.16787,1.16756,1.16761,585
2020-09-29 00:10:00,1.1679300000000001,1.168245,1.16756,1.168205,869
2020-09-29 00:15:00,1.1682899999999998,1.168375,1.168085,1.168095,929
2020-09-29 00:20:00,1.168095,1.1681,1.16774,1.1680000000000001,428
2020-09-29 00:25:00,1.168025,1.16806,1.1678899999999999,1.167935,519
2020-09-29 00:30:00,1.167995,1.168055,1.167615,1.1676600000000001,561
2020-09-29 00:35:00,1.1677,1.1677499999999998,1.167625,1.167745,261
2020-09-29 00:40:00,1.1677749999999998,1.167805,1.1676600000000001,1.1678,249
2020-09-29 00:45:00,1.1679,1.1680000000000001,1.167795,1.167855,386
2020-09-29 00:50:00,1.1679050000000002,1.1679599999999999,1.167735,1.167835,481
2020-09-29 00:55:00,1.1678950000000001,1.167955,1.16757,1.16769,508
2020-09-29 01:00:00,1.167795,1.1679,1.16757,1.167705,533
2020-09-29 01:05:00,1.1677300000000002,1.167755,1.1673049999999998,1.1674,547
2020-09-29 01:10:00,1.1674,1.1674,1.166985,1.16704,887
2020-09-29 01:15:00,1.167075,1.167105,1.166795,1.16686,528
2020-09-29 01:20:00,1.16703,1.167205,1.16676,1.167205,565
2020-09-29 01:25:00,1.1672799999999999,1.167355,1.16707,1.16719,483
2020-09-29 01:30:00,1.1672150000000001,1.16724,1.16688,1.16695,695
2020-09-29 01:35:00,1.16702,1.167085,1.16685,1.16695,491
2020-09-29 01:40:00,1.16697,1.16699,1.166775,1.16686,336
2020-09-29 01:45:00,1.166905,1.16695,1.1667100000000001,1.16689,458
2020-09-29 01:50:00,1.16695,1.167,1.1668,1.166905,369
2020-09-29 01:55:00,1.1669550000000002,1.167,1.16679,1.166855,519
2020-09-29 02:00:00,1.166935,1.167005,1.1667649999999998,1.166845,417
2020-09-29 02:05:00,1.1669049999999999,1.166965,1.166815,1.166955,416
2020-09-29 02:10:00,1.167225,1.167495,1.166955,1.1673900000000001,576
2020-09-29 02:15:00,1.167395,1.167395,1.167005,1.167075,432
2020-09-29 02:20:00,1.16709,1.167105,1.16695,1.166985,338
2020-09-29 02:25:00,1.1671749999999999,1.1673499999999999,1.166985,1.1672150000000001,454
2020-09-29 02:30:00,1.167225,1.167235,1.167095,1.16717,422
2020-09-29 02:35:00,1.1671900000000002,1.1672099999999999,1.166915,1.167015,419
2020-09-29 02:40:00,1.167075,1.1671399999999998,1.166955,1.1670150000000001,339
2020-09-29 02:45:00,1.16707,1.1671200000000002,1.1669,1.1669100000000001,214
2020-09-29 02:50:00,1.166985,1.167055,1.166865,1.167015,284
2020-09-29 02:55:00,1.167055,1.1671049999999998,1.167015,1.16707,134
2020-09-29 03:00:00,1.1671200000000002,1.1671749999999999,1.167065,1.167095,160
2020-09-29 03:05:00,1.16716,1.1672250000000002,1.167095,1.16717,206
2020-09-29 03:10:00,1.1673049999999998,1.16742,1.16716,1.167385,250
2020-09-29 03:15:00,1.167425,1.16746,1.167295,1.167365,256
2020-09-29 03:20:00,1.16742,1.16747,1.167305,1.16747,282
2020-09-29 03:25:00,1.167565,1.16767,1.167425,1.16758,362
2020-09-29 03:30:00,1.167595,1.16761,1.16751,1.167545,241
2020-09-29 03:35:00,1.1675900000000001,1.16764,1.16751,1.1675499999999999,141
2020-09-29 03:40:00,1.167595,1.16763,1.167535,1.16763,216
2020-09-29 03:45:00,1.16764,1.1676549999999999,1.16753,1.1675550000000001,295
2020-09-29 03:50:00,1.16756,1.16757,1.167445,1.16756,312
2020-09-29 03:55:00,1.1675900000000001,1.1676199999999999,1.16736,1.167465,490
2020-09-29 04:00:00,1.167545,1.16763,1.16744,1.167445,441
2020-09-29 04:05:00,1.167445,1.167455,1.1673900000000001,1.1674,110
2020-09-29 04:10:00,1.1675,1.1676,1.1673200000000001,1.167505,254
2020-09-29 04:15:00,1.167535,1.167565,1.16742,1.1675,299
2020-09-29 04:20:00,1.1675300000000002,1.16756,1.167375,1.1674,221
2020-09-29 04:25:00,1.167405,1.16741,1.16733,1.1673499999999999,95
2020-09-29 04:30:00,1.167385,1.167415,1.1673149999999999,1.167365,225
2020-09-29 04:35:00,1.16742,1.167475,1.167345,1.167365,147
2020-09-29 04:40:00,1.167365,1.16737,1.1671399999999998,1.16723,245
2020-09-29 04:45:00,1.16733,1.16743,1.16722,1.16742,151
2020-09-29 04:50:00,1.1674600000000002,1.1674950000000002,1.16736,1.1673900000000001,157
2020-09-29 04:55:00,1.1675149999999999,1.16764,1.16738,1.167625,203
