date,o,h,l,c,v
2020-09-28 21:35:00,1.078745,1.0788099999999998,1.078565,1.0787200000000001,100
2020-09-28 21:40:00,1.0787200000000001,1.078725,1.07868,1.0786950000000002,20
2020-09-28 21:45:00,1.0787,1.07871,1.078585,1.07861,44
2020-09-28 21:50:00,1.07864,1.07876,1.0785749999999998,1.078705,123
2020-09-28 21:55:00,1.0788,1.0788600000000002,1.0786099999999998,1.07874,797
2020-09-28 22:00:00,1.0787900000000001,1.0789650000000002,1.078355,1.0786850000000001,806
2020-09-28 22:05:00,1.0787,1.0787499999999999,1.07855,1.078605,199
2020-09-28 22:10:00,1.0787049999999998,1.07885,1.07859,1.07873,384
2020-09-28 22:15:00,1.07878,1.078885,1.078695,1.07884,173
2020-09-28 22:20:00,1.0788600000000002,1.078875,1.07881,1.07885,106
2020-09-28 22:25:00,1.078855,1.07886,1.07876,1.07884,118
2020-09-28 22:30:00,1.07885,1.078865,1.0787499999999999,1.07876,174
2020-09-28 22:35:00,1.078765,1.078775,1.078725,1.0787550000000001,57
2020-09-28 22:40:00,1.078775,1.07881,1.078725,1.07876,148
2020-09-28 22:45:00,1.07878,1.0788250000000001,1.0787550000000001,1.078765,196
2020-09-28 22:50:00,1.07878,1.078795,1.078735,1.07876,71
2020-09-28 22:55:00,1.07878,1.078805,1.07876,1.078795,57
2020-09-28 23:00:00,1.078845,1.078905,1.0787849999999999,1.07881,246
2020-09-28 23:05:00,1.0788250000000001,1.078865,1.07871,1.0787650000000002,252
2020-09-28 23:10:00,1.07881,1.0789,1.078725,1.078865,196
2020-09-28 23:15:00,1.078865,1.07887,1.078585,1.078615,295
2020-09-28 23:20:00,1.0786449999999999,1.0786799999999999,1.0786099999999998,1.07865,127
2020-09-28 23:25:00,1.0787300000000002,1.078805,1.07864,1.078805,139
2020-09-28 23:30:00,1.078805,1.07881,1.07867,1.07867,132
2020-09-28 23:35:00,1.07867,1.078675,1.07857,1.0786099999999998,135
2020-09-28 23:40:00,1.07867,1.078725,1.078555,1.078665,247
2020-09-28 23:45:00,1.0786850000000001,1.0787200000000001,1.078615,1.07864,328
2020-09-28 23:50:00,1.078735,1.078855,1.078635,1.07869,636
2020-09-28 23:55:00,1.078795,1.078915,1.078675,1.0788099999999998,625
2020-09-29 00:00:00,1.07889,1.07897,1.078545,1.07863,781
2020-09-29 00:05:00,1.078675,1.0787200000000001,1.07856,1.0786,514
2020-09-29 00:10:00,1.07876,1.07892,1.07857,1.078835,705
2020-09-29 00:15:00,1.078955,1.079075,1.0787900000000001,1.07896,683
2020-09-29 00:20:00,1.07897,1.07898,1.0787149999999999,1.07886,370
2020-09-29 00:25:00,1.0788799999999998,1.078905,1.078805,1.078865,308
2020-09-29 00:30:00,1.07889,1.07891,1.0787550000000001,1.07881,494
2020-09-29 00:35:00,1.0788449999999998,1.078885,1.078795,1.07887,296
2020-09-29 00:40:00,1.078885,1.078905,1.078835,1.078865,292
2020-09-29 00:45:00,1.078885,1.078925,1.07883,1.0789,275
2020-09-29 00:50:00,1.078965,1.0790199999999999,1.07885,1.0788799999999998,396
2020-09-29 00:55:00,1.07892,1.0789650000000002,1.07882,1.078915,455
2020-09-29 01:00:00,1.07894,1.078955,1.0788000000000002,1.078885,431
2020-09-29 01:05:00,1.0788950000000002,1.078915,1.078745,1.07878,395
2020-09-29 01:10:00,1.07878,1.07878,1.078615,1.07863,517
2020-09-29 01:15:00,1.0786600000000002,1.0786950000000002,1.07856,1.07862,410
2020-09-29 01:20:00,1.07871,1.0788,1.07857,1.0787749999999998,506
2020-09-29 01:25:00,1.0788099999999998,1.07885,1.07865,1.0786850000000001,379
2020-09-29 01:30:00,1.0787,1.0787149999999999,1.0784349999999998,1.0784850000000001,491
2020-09-29 01:35:00,1.078515,1.0785399999999998,1.07837,1.078405,300
2020-09-29 01:40:00,1.078465,1.07851,1.078395,1.07849,283
2020-09-29 01:45:00,1.07851,1.078535,1.078425,1.0785200000000001,340
2020-09-29 01:50:00,1.078535,1.07856,1.0784449999999999,1.07851,258
2020-09-29 01:55:00,1.07853,1.07856,1.07842,1.0785,363
2020-09-29 02:00:00,1.078515,1.0785200000000001,1.0783999999999998,1.078475,356
2020-09-29 02:05:00,1.078515,1.0785550000000002,1.07843,1.078525,310
2020-09-29 02:10:00,1.07865,1.0787650000000002,1.078515,1.0786850000000001,468
2020-09-29 02:15:00,1.0786850000000001,1.0786850000000001,1.0783800000000001,1.0783999999999998,411
2020-09-29 02:20:00,1.078545,1.0787,1.0783900000000002,1.0785900000000002,426
2020-09-29 02:25:00,1.0786600000000002,1.078745,1.0785550000000002,1.078615,452
2020-09-29 02:30:00,1.078655,1.0787149999999999,1.0785049999999998,1.078675,305
2020-09-29 02:35:00,1.07873,1.0787900000000001,1.0785749999999998,1.07869,389
2020-09-29 02:40:00,1.0787650000000002,1.078835,1.078675,1.0787399999999998,360
2020-09-29 02:45:00,1.07877,1.0788000000000002,1.07865,1.078705,364
2020-09-29 02:50:00,1.078735,1.07877,1.07865,1.07876,322
2020-09-29 02:55:00,1.07878,1.0787900000000001,1.0787499999999999,1.07876,138
2020-09-29 03:00:00,1.07877,1.078795,1.078725,1.07876,187
2020-09-29 03:05:00,1.078775,1.0787900000000001,1.0787399999999998,1.07876,207
2020-09-29 03:10:00,1.07878,1.078815,1.078745,1.07878,293
2020-09-29 03:15:00,1.0787849999999999,1.0788,1.078675,1.078705,228
2020-09-29 03:20:00,1.078725,1.078735,1.078645,1.0787300000000002,288
2020-09-29 03:25:00,1.0787849999999999,1.07885,1.07867,1.078765,363
2020-09-29 03:30:00,1.078765,1.078765,1.078705,1.078725,103
2020-09-29 03:35:00,1.0787499999999999,1.07878,1.0787149999999999,1.0787499999999999,174
2020-09-29 03:40:00,1.078775,1.078815,1.07872,1.078735,171
2020-09-29 03:45:00,1.078745,1.0787550000000001,1.078705,1.078735,204
2020-09-29 03:50:00,1.0787499999999999,1.0787550000000001,1.078705,1.0787550000000001,175
2020-09-29 03:55:00,1.0787550000000001,1.0787550000000001,1.07849,1.07852,368
2020-09-29 04:00:00,1.07855,1.07858,1.0784449999999999,1.078455,381
2020-09-29 04:05:00,1.07846,1.078465,1.0784099999999999,1.0784150000000001,100
